400.00	-0.01	-0.01	0.84	0.12	0.01	-0.01	0.00	0.00	0.00	400.00	-0.01	-0.01	0.84	0.12	0.01	0.00	0.01	-0.01	0.00	0.04	-0.04	-0.04	-0.04	-0.04	-0.07	0.99	0.07	0.99	1.05	
400.00	0.01	0.01	1.02	0.18	0.01	-0.01	0.00	0.00	0.00	400.00	0.01	0.01	1.02	0.18	0.01	0.00	0.01	-0.01	0.00	0.03	-0.03	-0.04	-0.04	-0.04	-0.08	0.97	0.08	0.97	1.04	
400.00	0.02	0.02	1.17	0.19	0.01	-0.01	0.00	0.00	0.00	400.00	0.02	0.02	1.17	0.19	0.01	0.00	0.01	-0.01	0.00	0.01	-0.01	-0.04	-0.04	-0.04	-0.09	0.96	0.09	0.96	1.04	
400.00	0.02	0.02	1.31	0.24	0.01	-0.01	0.00	0.00	0.00	400.00	0.01	0.02	1.31	0.24	0.01	0.00	0.01	-0.01	0.00	-0.01	0.01	-0.03	-0.03	-0.03	-0.10	0.94	0.10	0.94	1.03	
400.00	0.01	0.01	1.44	0.24	0.01	-0.01	0.00	0.00	0.00	400.00	0.00	0.01	1.44	0.24	0.01	0.00	0.01	-0.01	0.00	-0.01	0.01	-0.03	-0.03	-0.03	-0.11	0.92	0.11	0.92	1.02	
400.00	-0.00	-0.00	1.56	0.29	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	1.56	0.29	0.02	0.00	0.02	-0.02	0.00	-0.01	0.01	-0.03	-0.03	-0.03	-0.12	0.90	0.12	0.90	1.01	
400.00	-0.00	-0.00	1.67	0.29	0.02	-0.02	0.00	0.00	0.00	400.00	-0.01	-0.00	1.67	0.29	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.03	-0.03	-0.03	-0.14	0.88	0.14	0.88	1.00	
400.00	-0.00	-0.00	1.78	0.33	0.02	-0.02	0.00	0.00	0.00	400.00	-0.01	-0.00	1.78	0.33	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.15	0.85	0.15	0.85	1.00	
400.00	-0.00	-0.00	1.88	0.33	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	1.88	0.33	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.17	0.83	0.17	0.83	0.99	
400.00	-0.00	-0.00	1.97	0.37	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	1.97	0.37	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.18	0.80	0.18	0.80	0.98	
400.00	-0.00	-0.00	2.05	0.36	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	2.05	0.36	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.02	-0.02	-0.02	-0.20	0.78	0.20	0.78	0.97	
400.00	-0.00	-0.00	2.11	0.40	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	2.11	0.40	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.01	-0.01	-0.01	-0.22	0.75	0.22	0.75	0.96	
400.00	-0.00	-0.00	2.16	0.39	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	2.16	0.39	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.01	-0.01	-0.01	-0.24	0.72	0.24	0.72	0.95	
400.00	-0.00	-0.00	2.20	0.42	0.02	-0.02	0.00	0.00	0.00	400.00	-0.00	-0.00	2.20	0.42	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.01	-0.01	-0.01	-0.26	0.69	0.26	0.69	0.94	
400.00	-0.00	-0.00	2.23	0.40	0.02	-0.02	0.00	0.01	0.00	400.00	-0.00	-0.00	2.23	0.40	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.01	-0.01	-0.01	-0.28	0.66	0.28	0.66	0.93	
400.00	-0.00	-0.00	2.24	0.43	0.02	-0.02	0.00	0.01	0.00	400.00	-0.00	-0.00	2.24	0.43	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	-0.00	-0.00	-0.00	-0.30	0.63	0.30	0.63	0.92	
400.00	-0.00	-0.00	2.25	0.41	0.02	-0.02	0.00	0.01	0.00	400.00	-0.00	-0.00	2.25	0.41	0.02	0.00	0.02	-0.02	0.00	-0.00	0.00	0.00	0.00	0.00	-0.32	0.60	0.32	0.60	0.91	
